doc_id,pdf_name,page_number,image_id,image_path,clean_path,image_type,is_formula,smiles,processed
DOC001,DECIMER_Test_Different_Structures.pdf,2,IMG00001,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\segmented_structures\DOC001\IMG00001.png,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\cleaned_images\DOC001\IMG00001_clean.png,chemical_structure,True,CCCCCC,True
DOC001,DECIMER_Test_Different_Structures.pdf,3,IMG00002,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\segmented_structures\DOC001\IMG00002.png,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\cleaned_images\DOC001\IMG00002_clean.png,chemical_structure,True,C1CCC2(CC1)CCCCC2,True
DOC001,DECIMER_Test_Different_Structures.pdf,4,IMG00003,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\segmented_structures\DOC001\IMG00003.png,C:\Users\BIT\OneDrive\Desktop\DECIMERAI2.0\DECIMER-WebApp\cleaned_images\DOC001\IMG00003_clean.png,chemical_structure,True,C1CCC(C1)I,True
