image_path,smiles
C:\DECIMER.ai\Decimer.ai\image\molecule.png,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
C:\DECIMER.ai\Decimer.ai\image\molecule1.png,CN1C=NC2=C1C(=O)N(C)C(=O)N2C.[V].[V].[V].[V]
C:\DECIMER.ai\Decimer.ai\image\molecule2.png,C1=CC=CC=C1.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CCC#CC.CC#CC.CC#CC.CC#CC.CC#CC.CCC#CC.CC#CC.CCC#CC.CCC#CC.CCC.CC#CC.CC#C.CCC.CC#C.CC.CCC.CCC#CC.CC
C:\DECIMER.ai\Decimer.ai\image\molecule4.png,CC(=O)OCC1=CC=CC(=C1C(=O)O)I
C:\DECIMER.ai\Decimer.ai\image\molecule5.png,C([C@H]1[C@H]([C@@H]([C@@H]([C@H](O)O1)O)O)O)O
